"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AC49",-0.382229366,1.045048538,1.131434221,-0.020165857,45.7459984,0.18867,2595.409912,5179
"AC50",-0.372943028,1.671652566,0.660922354,0.075272178,45.8633003,0.223705,2371.040039,6306
"AC51",-0.759922867,1.752314309,0.638819504,0.315179859,40.9751015,0.228215,2360.5,9139
"AC52",-0.41502782,1.398851332,0.428109294,0.843518728,45.3316994,0.208452,2260.02002,15378
"AC53",0.219275247,1.421493852,0.625377683,1.542748419,53.3440018,0.209718,2354.090088,23635
"AC54",0.373126529,2.09218462,0.265358047,0.591162608,55.2873993,0.247218,2182.409912,12398
"AC56",-0.879725139,2.692354489,-0.164450521,2.299223995,39.4617996,0.280775,1977.449951,32568
"AD18",1.688107596,-0.477079687,1.710615187,-0.458740469,71.8977966,0.103564,2871.600098,0
"AD19",0.287247043,-0.045083293,1.643698417,-0.451034292,54.2025986,0.127718,2839.689941,91
"AD20",0.037564933,-0.234700986,2.044819666,-0.458740469,51.0486984,0.117116,3030.969971,0
"AD21",0.963634602,-0.320370554,1.91786498,-0.458740469,62.7464981,0.112326,2970.429932,0
"AD22",1.549836226,0.423935232,1.286363562,-0.458740469,70.1511993,0.153942,2669.290039,0
"AD23",0.872973631,-0.198269064,-0.246297671,-0.458740469,61.6012993,0.119153,1938.420044,0
"AD24",0.920212274,-1.187464617,-1.404050869,-0.458740469,62.1980019,0.0638446,1386.329956,0
"AD25",1.115403933,-1.251886701,-1.432297892,-0.458740469,64.6635971,0.0602426,1372.859985,0
"AD26",0.889155119,-0.310462216,-0.186888712,-0.458740469,61.8056984,0.11288,1966.75,0
"AD27",-0.831101247,-0.448803365,-0.889438002,-0.458740469,40.0760002,0.105145,1631.729981,0
"AD35",-0.648955765,-0.25496479,-0.940018518,-0.458740469,42.3768005,0.115983,1607.609985,0
"AD39",-0.218711535,0.580966297,-0.120223832,-0.458740469,47.8115005,0.162722,1998.540039,0
"AD40",-0.2719034,0.930941683,0.220733044,-0.457808953,47.1395988,0.18229,2161.129883,11
"AD41",0.440639597,1.099007846,0.020885852,-0.078343258,56.1402016,0.191687,2065.830078,4492
"AD42",0.136665157,1.889475042,0.498716357,0.721744198,52.300499,0.235884,2293.689941,13940
"AD43",0.071764944,1.515623066,1.050383956,2.681230188,51.4807014,0.214981,2556.76001,37079
"AD44",-0.227277311,0.92836623,1.421391532,-0.046925768,47.7033005,0.182146,2733.679932,4863
"AD45",0.513266338,0.89236355,1.20841687,0.66339743,57.0575981,0.180133,2632.120117,13251
"AD46",1.026769647,0.268156123,1.468469904,0.308405198,63.5439987,0.145232,2756.129883,9059
"AD48",-0.203844323,1.352403761,1.032391216,-0.458740469,47.9992981,0.205855,2548.179932,0
"AD49",0.206355301,1.771630203,0.818682387,-0.242036003,53.1808014,0.229295,2446.27002,2559
"AD50",-0.082712067,1.913387404,0.71028668,0.278681373,49.5293999,0.237221,2394.580078,8708
"AD51",-0.083020704,1.997304233,0.337705815,0.443390317,49.5255013,0.241913,2216.909912,10653
"AD52",-0.405076485,1.930378237,0.44197042,0.875952417,45.4574013,0.238171,2266.629883,15761
"AD53",0.081882377,2.217720047,0.35012062,0.898054748,51.6085014,0.254237,2222.830078,16022
"AD54",-0.24852567,2.448884798,0.26923777,1.361272189,47.4348984,0.267162,2184.26001,21492
"AD55",-0.592217573,2.445379321,-0.125026128,0.819553365,43.0934982,0.266966,1996.25,15095
