Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
AB41,-1.206478517,-1.220932764,-1.460931497,-1.011476546,-0.257858989,-1.316273129,-1.109126963,-0.788521713,-0.506531253,-0.676582153,-0.656574785,-0.608348923,-0.158208118,0.040937297,-0.496098837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB42,-0.661902103,-0.161645744,-0.181553615,-0.742266984,-0.424682302,-0.157830555,-0.450872501,-0.255817497,-0.503708374,0.63187881,0.13379862,-0.052424408,-0.197890947,-0.471671413,-0.390671976,-0.074227277,0.158940627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB43,-1.203941523,-1.132002285,-1.407281477,-0.647591987,-0.881174969,-0.927994559,-0.325820741,-0.436248695,-0.330775385,-0.362340021,-0.53051001,-0.092116458,-0.5848725,-0.691451877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB47,0.085724471,1.266441975,0.57201198,-0.447520631,0.940091778,1.72170891,-0.313337882,-0.294519579,1.254133932,2.121249822,1.58523522,0.845140164,1.641889797,-0.017141369,-0.231824253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB48,1.259870776,-0.816435274,-1.09848572,0.382325546,0.113557407,-0.885925794,-0.655714685,-0.199699653,-0.207825871,-0.391581392,-0.634308471,-0.697977883,0.202072429,-0.052255945,-0.115266198,-0.309959434,-0.626406058,-0.365215836,-0.685152883,-0.477769841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB49,-0.476180358,-0.530204381,-0.108555882,0.173825431,1.617990762,-0.122266312,-0.221607939,-0.045660776,-0.254286632,-0.464796838,0.458977497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB50,1.072418824,1.739768647,1.92236505,1.335900019,0.857578896,1.312886453,1.635475979,0.46779807,0.341595706,0.458445297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB51,0.771721034,1.348381137,1.850675085,1.464033937,2.204752456,1.596799709,0.911727132,1.19205651,0.895969311,1.430771613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB52,0.994584636,1.79417647,2.780549931,1.571189682,1.001441246,1.014577765,1.295956539,1.550177161,0.786864937,1.022483085,0.700852,1.084991695,1.039710989,0.408160794,0.402724748,-0.215141891,-0.054532727,-0.347897217,0.250359108,1.538660706,0.993738774,0.619513752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB53,0.772180114,0.886401344,0.254157963,0.379484497,0.559827568,0.606876794,0.950938493,1.079028391,0.664875405,-0.079071691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB54,-0.03765347,-0.137406877,0.517357088,0.869066809,1.484895957,1.049172674,0.014858661,1.145212658,0.85277512,0.624742497,0.094073886,0.076884119,0.681157893,0.493224631,-0.061055117,-0.444484357,-0.762311308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB55,-0.050176926,-0.341173345,0.118274653,-0.017840385,0.280030809,0.444317703,1.059052241,1.25288219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC18,-0.010725649,1.529752709,3.467954296,1.171849259,-0.893644843,-0.702329115,-0.485267066,-0.648775504,-0.791700736,-0.757773012,-0.848812315,-0.829318474,-0.831055013,-0.74769945,-0.695494907,-0.649603961,-0.538892502,-0.474031045,-0.449365417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC19,0.197156581,1.107410364,0.757196962,1.073746013,1.090415743,1.108285196,0.794130714,0.62954792,0.848721447,0.590888484,0.459757835,-0.076690557,0.224664766,1.606195268,0.116100974,-0.247316687,1.594169679,1.270680424,0.62368432,0.797289224,0.947215933,1.246683331,0.945541308,-0.008302008,0.572522408,0.33067771,0.630230202,0.702622135,0.352437001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC20,0.425300184,-0.356457558,0.25137324,1.062947467,2.046318707,0.069463692,0.907792924,0.230778542,-0.417830519,0.647014297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC21,0.420345337,-0.059587097,0.185323474,-0.27951022,-0.199414683,0.899385972,0.199317437,0.41798763,0.451969071,1.26301485,1.501564399,1.378098078,1.325788765,1.519209677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC22,-0.555702418,-0.559823409,-0.58705979,-0.493192445,-0.695775553,-0.733540519,-0.435718196,-0.423585254,-0.33317119,-0.763399758,-0.949802266,-0.86757303,-0.820863147,-0.731046343,-0.680083035,-0.858584986,-0.77979295,-0.875008182,-0.880256849,-0.91066758,-0.795422103,-0.276375005,-0.083500823,-0.122731067,-0.106175359,0.454299088,0.273803366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC23,0.493301928,-0.732639559,-0.516152825,0.32601056,0.316050548,0.906314857,1.206290592,0.81582292,-0.014783274,-0.698647303,-0.507128847,1.652801487,0.288685817,-0.420462266,-0.518705442,-0.307709614,-0.686527477,-0.352531483,-0.022692025,-0.861044416,-0.680276652,-0.237212117,-0.688579983,-0.78198941,-0.105597549,0.471101416,-0.038796846,0.633125132,0.094416049,0.177139491,0.080037788,-0.786250543,-0.771549078,-0.733846394,-0.821491747,-0.813528952,-0.830685308,-0.835122112,-0.761737985,-0.6165647
AC25,1.496841128,1.626334407,2.695850161,3.791387168,2.775626064,2.764563929,3.290113634,2.668852037,2.101661312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC26,0.4325088,0.956550234,2.522490911,3.640344873,2.39847975,1.189565998,0.652222444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC33,-0.666298969,-0.654400693,-0.563303905,-0.631378439,-0.227533362,-0.209866911,-0.119413725,-0.178689649,-0.461301934,-0.612482899,-0.701853094,-0.745373497,-0.712095578,-0.722313831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC35,-0.646955157,-0.742559991,-0.427310532,-0.340979273,-0.566260212,-0.476700812,-0.666977399,-0.464140499,-0.495166374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC40,2.782399306,2.389191122,2.759782795,2.110993502,1.747844914,1.650015973,2.041281989,1.454780878,1.329393993,1.540155959,1.09772636,1.472357016,1.704829242,1.788103099,0.013445169,0.229830509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC41,1.92489892,1.741049521,3.678727569,3.419150048,2.085460512,3.796072783,0.924843517,0.201732525,0.431336668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC42,1.894374253,1.138742474,1.985235127,-0.513476132,0.145027959,-0.089876932,-0.543530584,-0.794208062,-0.608792077,-0.343786232,0.562748491,1.124673281,1.710900714,2.219585029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC43,2.467090503,2.096216368,0.492939669,1.718039953,0.988338241,0.751888654,1.034619292,0.422128891,0.456316873,-0.061025347,-0.225492445,0.113110475,-0.325702984,-0.439980297,-0.492153956,-0.606673858,-0.619664722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC44,-0.402960515,0.390990003,1.202858422,1.08278031,-0.187080749,-0.575961765,-0.261742141,-0.30620307,-0.339628289,-0.127324461,-0.48615591,-0.128984822,-0.468073954,-0.859120767,-0.797255315,-0.767740932,-0.472704568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC45,-0.07425869,-0.750620609,-0.235529507,-0.331948654,-0.282630316,-0.366858871,-0.731892407,-0.299019485,-0.00436272,0.396807519,0.180041551,-0.250072478,-0.617826432,-0.449241281,-0.441073215,-0.41608636,-0.049508939,0.945169645,0.435390295,0.458161615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC46,-0.628128823,0.470012702,-0.193906684,-1.197745422,0.109280827,-1.116810244,0.433583907,1.675215976,1.298294284,1.126874397,-0.355396394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC48,-0.241561199,1.385468253,0.23978894,0.281620755,-0.095795542,0.322288785,-0.233258616,-0.090744411,0.769034419,0.727754071,0.55455697,0.343483191,0.730668721,1.549492809,1.645064189,0.305510597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC49,-0.004524904,-0.077834176,-0.563776436,-0.330805134,-0.345401711,-0.369677788,-0.562032911,-0.097248699,0.126754351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC50,-0.923167338,-0.723552737,-0.391912288,-0.512730284,-0.764188359,-0.586759447,-0.476080953,0.146034589,-0.06059749,-0.127504425,-0.552445723,-0.906656112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC51,-0.33032246,-0.480962431,-0.326469673,-0.634055605,-0.785547594,-0.940919235,-0.770507535,-0.441756727,-0.872799614,-0.838105624,-0.697721498,-0.942360495,-0.950888364,-0.532694736,-0.625529783,-0.684004709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC52,-0.815866388,-0.439921784,0.809154722,-0.276568495,-0.079839435,-0.197201575,-0.350212598,-0.00883126,-0.657778556,-0.768034316,-0.654795588,-0.851249532,-0.954401247,-0.617906008,-0.441775234,-0.366542004,-0.690177806,-0.464513263,-0.800558075,-0.424058585,-0.183921714,-0.422899067,-0.7066506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC53,0.138414235,-0.074598988,-0.06383354,0.573055879,-0.68535002,-0.655430144,0.413485022,0.546177252,0.692030594,0.127205854,-0.423116616,-0.666089938,0.379092253,-0.169897604,0.32246189,-0.0479718,-0.646941795,0.483550041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC54,-0.641531029,-0.74989373,-0.743023109,-0.889517337,-0.899462158,-0.801062428,-0.450293301,-0.620873558,0.341446108,-0.056088581,-0.436526622,0.01091275,-0.278240405,-0.392876694,-0.771517866,-0.679957192,-0.715908723,-0.946664118,-0.959644124,-0.820666813,-0.402936552,-0.901029679,-0.819780271,-0.40224421,0.635299631,0.724453091,-0.670223455,-0.433741839,-0.634109795,-0.462734774,-0.699989587,-0.564399051,-0.103860405,-0.825133114,-0.769637545,-0.437709658,NA,NA,NA,NA
AC56,-0.651868608,-0.760968908,-0.399689646,-0.244127833,0.031909719,-0.732323421,-0.743527083,-0.671613383,-0.362129434,-0.445684609,0.218505721,-0.276393318,-0.226032088,-0.02276115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD18,1.503093737,3.020358383,5.028473536,3.260788617,-0.823331602,-0.837893869,-0.651291634,-0.881061711,-0.415210768,0.165065709,1.736860304,0.227407564,-0.335852104,-0.531435187,-0.542518612,-0.487481629,-0.11404168,0.195749056,0.307090248,-0.515827198,0.190971697,0.496343752,-0.141366847,-0.745502192,-0.654130272,-0.058456475,0.072815395,-0.272383276,-0.566722964,-0.367294271,-0.048737867,0.075662131,-0.532825949,-0.73724014,-0.28622852,0.488985335,0.146979597,-0.14406321,0.018880472,0.0390691
AD19,1.164349815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD20,-1.441063973,-0.339829938,-0.311269421,0.062850376,0.60111628,-0.27128698,0.938904116,-0.341472931,-0.259609209,-0.071375917,-0.330807236,-0.160433367,0.062743085,-0.096011698,0.022844438,0.149837215,-0.392631742,-0.191555897,-0.285659335,-0.262792464,-0.206313796,0.866137109,0.102368103,0.907132007,0.508827826,-0.101782267,-0.172971895,-0.040600411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
