Site,Alt_z,Alt_z2,Rgd_z,Rgd2_z,Available_z,Rgd_Availz,Forest_z,NDVI_z,ForestXNDVI,Altitude,Rugged,Rgd^2,Available,Rgd_Avail,Forest_Cov,NDVI
AB41,0.628145403,0.394566647,-0.277706271,0.077120773,0.148912076,-1.065923999,-0.451373026,1.394862958,-0.629603513,2355.409912,23.4708004,550.8784714,27706,37.1097984,87,0.208229
AB42,0.705211503,0.497323264,-0.065086382,0.004236237,0.524423958,-0.975302287,-0.255754691,1.705830968,-0.436274272,2392.159912,27.0426006,731.3022472,34792,38.2545013,2397,0.225616
AB43,0.357627664,0.127897546,0.066475081,0.004418936,0.506777125,-0.42140052,-0.035154795,1.308889344,-0.046013736,2226.409912,29.2527008,855.7205041,34459,45.2512016,5002,0.203422
AB47,0.413304091,0.170820272,0.617127139,0.380845906,1.403638977,-0.340587897,3.654325547,1.816986784,6.639861225,2252.959961,38.5031013,1482.48881,51383,46.2719994,48570,0.231831
AB48,0.583122086,0.340031367,0.723067859,0.522827129,1.576980688,-0.279376565,4.062329502,1.581368646,6.424040505,2333.939941,40.2827988,1622.703879,54654,47.0452003,53388,0.218657
AB49,0.518260883,0.268594343,0.783672721,0.614142934,1.564739191,-0.201152643,3.651785049,2.060778407,7.525519777,2303.01001,41.3008995,1705.7643,54423,48.0332985,48540,0.245462
AB50,0.577460189,0.33346027,0.427127491,0.182437894,1.187160564,-0.479104792,3.392569586,2.043179481,6.931628566,2331.23999,35.3112984,1246.887795,47298,44.5223007,45479,0.244478
AB51,0.258836549,0.066996359,0.857242657,0.734864973,1.637287281,-0.129879136,4.534438685,2.838314685,12.87016391,2179.300049,42.5368004,1809.379388,55792,48.9336014,58963,0.288936
AB52,0.318769511,0.101614001,0.89570324,0.802284295,1.754190924,-0.167522794,4.709055571,2.714657193,12.78347158,2207.879883,43.1828995,1864.762809,57998,48.4580994,61025,0.282022
AB53,0.254097226,0.0645654,0.792107798,0.627434763,1.670514201,-0.258920034,3.95063228,2.522034804,9.963632108,2177.040039,41.4426003,1717.48912,56419,47.3036003,52069,0.271252
AB54,0.71466916,0.510752008,0.604400049,0.365299419,1.361774119,-0.316299661,3.89872144,2.003063231,7.809385564,2396.669922,38.289299,1466.070418,50593,46.5788002,51456,0.242235
AB55,0.046134256,0.00212837,0.849390949,0.721464984,1.691976565,-0.172842735,2.638803874,2.322186841,6.127795631,2077.870117,42.4048996,1798.17551,56824,48.3908997,36578,0.260078
AC18,1.725461859,2.977218627,1.251409188,1.566024955,1.229237396,0.927392501,-0.458740469,-0.423817898,0.194422421,2878.679932,49.1584015,2416.548438,48092,62.2887001,0,0.106542
AC19,1.855960415,3.444589061,0.855694886,0.732213738,1.26967143,0.156646644,-0.458740469,-0.384184545,0.176240998,2940.909912,42.5107994,1807.168066,48855,52.5528984,0,0.108758
AC20,1.638539789,2.684812639,1.203971721,1.449547906,1.339675833,0.712163479,-0.458740469,-0.331244687,0.151955343,2837.229981,48.3614998,2338.834663,50176,59.5699997,0,0.111718
AC21,1.721309767,2.962907316,0.484910899,0.23513858,1.028445056,-0.349541445,-0.458740469,-0.010797581,0.004953287,2876.699951,36.2820015,1316.383633,44303,46.1589012,0,0.129635
AC22,0.908330707,0.825064674,0.899864234,0.809755639,1.295691234,0.18368998,-0.458740469,0.401203287,-0.184048184,2489.02002,43.2528,1870.804708,49346,52.8945007,0,0.152671
AC23,-0.592413687,0.350953977,-0.148079519,0.021927544,-0.051880264,-0.143495783,-0.458740469,-0.33192432,0.152267118,1773.369995,25.6483994,657.8403918,23917,48.7616005,0,0.11168
AC25,-0.286476966,0.082069052,0.933735322,0.871861651,0.185477585,3.022817387,-0.458740469,-0.656628077,0.301221872,1919.26001,43.8218002,1920.350173,28396,88.7574005,0,0.093525
AC26,0.370230875,0.137070901,0.442920145,0.196178255,0.047164572,1.805416293,-0.382186801,-0.150641077,0.057573031,2232.419922,35.5765991,1265.694404,25786,73.3796005,904,0.121816
AC33,-0.842422346,0.709675409,-0.583528207,0.340505168,-0.588757327,-0.268752381,-0.458740469,-0.107448591,0.049291017,1654.150024,18.3332996,336.1098742,13786,47.1794014,0,0.124231
AC35,-0.454260896,0.206352962,-0.686599779,0.471419257,-0.713609993,0.238464906,-0.458740469,-0.045369454,0.020812805,1839.25,16.6018009,275.6197931,11430,53.5863991,0,0.127702
AC40,0.420874619,0.177135445,0.03866382,0.001494891,0.384786107,-0.266757403,-0.39073981,1.15516702,-0.451369742,2256.570068,28.7854996,828.6049872,32157,47.2046013,803,0.194827
AC41,0.467827047,0.218862146,0.45256964,0.204819279,0.744505928,0.253949994,0.207039334,1.444386764,0.299044873,2278.959961,35.7387009,1277.254742,38945,53.7820015,7862,0.210998
AC42,0.874883074,0.765420393,0.514013784,0.264210171,1.106875424,-0.253924737,0.497587604,1.744069284,0.867827256,2473.070068,36.7709007,1352.099138,45783,47.3666992,11293,0.227754
AC43,0.953647385,0.909443334,0.192929083,0.037221631,0.759768054,-0.609673478,0.725470261,1.621735288,1.176520723,2510.629883,31.3770008,984.5161792,39233,42.8730011,13984,0.220914
